dice_id,face,adjacent_1,adjacent_2,adjacent_3,opposite,face_pair
01,1,7,19,13,20,1:20
01,2,12,18,20,19,2:19
01,3,17,16,19,18,3:18
01,4,18,11,14,17,4:17
01,5,18,15,13,16,5:16
01,6,9,16,14,15,6:15
01,7,15,17,1,14,7:14
01,8,16,10,20,13,8:13
01,9,6,11,19,12,9:12
01,10,17,12,8,11,10:11
01,11,9,4,13,10,10:11
01,12,10,15,2,9,9:12
01,13,11,5,1,8,8:13
01,14,4,6,20,7,7:14
01,15,5,12,7,6,6:15
01,16,6,3,8,5,5:16
01,17,10,3,7,4,4:17
01,18,5,4,2,3,3:18
01,19,3,9,1,2,2:19
01,20,2,14,8,1,1:20
02,1,7,19,13,20,1:20
02,2,12,18,20,19,2:19
02,3,17,16,19,18,3:18
02,4,18,11,14,17,4:17
02,5,18,15,13,16,5:16
02,6,9,16,14,15,6:15
02,7,15,17,1,14,7:14
02,8,16,10,20,13,8:13
02,9,6,11,19,12,9:12
02,10,17,12,8,11,10:11
02,11,9,4,13,10,10:11
02,12,10,15,2,9,9:12
02,13,11,5,1,8,8:13
02,14,4,6,20,7,7:14
02,15,5,12,7,6,6:15
02,16,6,3,8,5,5:16
02,17,10,3,7,4,4:17
02,18,5,4,2,3,3:18
02,19,3,9,1,2,2:19
02,20,2,14,8,1,1:20
03,1,7,19,13,20,1:20
03,2,12,18,20,19,2:19
03,3,17,16,19,18,3:18
03,4,18,11,14,17,4:17
03,5,18,15,13,16,5:16
03,6,9,16,14,15,6:15
03,7,15,17,1,14,7:14
03,8,16,10,20,13,8:13
03,9,6,11,19,12,9:12
03,10,17,12,8,11,10:11
03,11,9,4,13,10,10:11
03,12,10,15,2,9,9:12
03,13,11,5,1,8,8:13
03,14,4,6,20,7,7:14
03,15,5,12,7,6,6:15
03,16,6,3,8,5,5:16
03,17,10,3,7,4,4:17
03,18,5,4,2,3,3:18
03,19,3,9,1,2,2:19
03,20,2,14,8,1,1:20
04,1,7,19,13,20,1:20
04,2,12,18,20,19,2:19
04,3,17,16,19,18,3:18
04,4,18,11,14,17,4:17
04,5,18,15,13,16,5:16
04,6,9,16,14,15,6:15
04,7,15,17,1,14,7:14
04,8,16,10,20,13,8:13
04,9,6,11,19,12,9:12
04,10,17,12,8,11,10:11
04,11,9,4,13,10,10:11
04,12,10,15,2,9,9:12
04,13,11,5,1,8,8:13
04,14,4,6,20,7,7:14
04,15,5,12,7,6,6:15
04,16,6,3,8,5,5:16
04,17,10,3,7,4,4:17
04,18,5,4,2,3,3:18
04,19,3,9,1,2,2:19
04,20,2,14,8,1,1:20
05,1,7,19,13,20,1:20
05,2,12,18,20,19,2:19
05,3,17,16,19,18,3:18
05,4,18,11,14,17,4:17
05,5,18,15,13,16,5:16
05,6,9,16,14,15,6:15
05,7,15,17,1,14,7:14
05,8,16,10,20,13,8:13
05,9,6,11,19,12,9:12
05,10,17,12,8,11,10:11
05,11,9,4,13,10,10:11
05,12,10,15,2,9,9:12
05,13,11,5,1,8,8:13
05,14,4,6,20,7,7:14
05,15,5,12,7,6,6:15
05,16,6,3,8,5,5:16
05,17,10,3,7,4,4:17
05,18,5,4,2,3,3:18
05,19,3,9,1,2,2:19
05,20,2,14,8,1,1:20
06,1,7,19,13,20,1:20
06,2,12,18,20,19,2:19
06,3,17,16,19,18,3:18
06,4,18,11,14,17,4:17
06,5,18,15,13,16,5:16
06,6,9,16,14,15,6:15
06,7,15,17,1,14,7:14
06,8,16,10,20,13,8:13
06,9,6,11,19,12,9:12
06,10,17,12,8,11,10:11
06,11,9,4,13,10,10:11
06,12,10,15,2,9,9:12
06,13,11,5,1,8,8:13
06,14,4,6,20,7,7:14
06,15,5,12,7,6,6:15
06,16,6,3,8,5,5:16
06,17,10,3,7,4,4:17
06,18,5,4,2,3,3:18
06,19,3,9,1,2,2:19
06,20,2,14,8,1,1:20
07,1,7,19,13,20,1:20
07,2,12,18,20,19,2:19
07,3,17,16,19,18,3:18
07,4,18,11,14,17,4:17
07,5,18,16,13,16,5:16
07,6,9,16,14,15,6:15
07,7,15,17,1,14,7:14
07,8,16,10,20,13,8:13
07,9,6,11,19,12,9:12
07,10,17,12,8,11,10:11
07,11,9,4,13,10,10:11
07,12,10,15,2,9,9:12
07,13,11,5,1,8,8:13
07,14,4,6,20,7,7:14
07,15,5,12,7,6,6:15
07,16,6,3,8,5,5:16
07,17,10,3,7,4,4:17
07,18,5,4,2,3,3:18
07,19,3,9,1,2,2:19
07,20,8,2,14,1,1:20
08,1,10,6,13,20,1:20
08,2,3,8,7,12,2:12
08,3,9,2,11,17,3:17
08,4,10,5,8,16,4:16
08,5,7,4,15,19,5:19
08,6,9,1,8,14,6:14
08,7,2,5,20,13,7:13
08,8,2,6,4,18,8:18
08,9,3,19,6,15,9:15
08,10,4,1,17,11,10:11
08,11,20,16,3,10,10:11
08,12,13,18,17,2,2:12
08,13,19,12,1,7,7:13
08,14,15,18,20,6,6:14
08,15,17,14,5,9,9:15
08,16,19,11,18,4,4:16
08,17,12,15,10,3,3:17
08,18,12,16,14,8,8:18
08,19,13,9,16,5,5:19
08,20,14,11,7,1,1:20
09,1,10,6,13,20,1:20
09,2,3,8,7,12,2:12
09,3,9,2,11,17,3:17
09,4,10,5,8,16,4:16
09,5,7,4,15,19,5:19
09,6,9,1,8,14,6:14
09,7,2,5,20,13,7:13
09,8,2,6,4,18,8:18
09,9,3,19,6,15,9:15
09,10,4,1,17,11,10:11
09,11,20,16,3,10,10:11
09,12,13,18,17,2,2:12
09,13,19,12,1,7,7:13
09,14,15,18,20,6,6:14
09,15,17,14,5,9,9:15
09,16,19,11,18,4,4:16
09,17,12,15,10,3,3:17
09,18,12,16,14,8,8:18
09,19,13,9,16,5,5:19
09,20,14,11,7,1,1:20
10,1,10,6,13,20,1:20
10,2,3,8,7,12,2:12
10,3,9,2,11,17,3:17
10,4,10,5,8,16,4:16
10,5,7,4,15,19,5:19
10,6,9,1,8,14,6:14
10,7,2,5,20,13,7:13
10,8,2,6,4,18,8:18
10,9,3,19,6,15,9:15
10,10,4,1,17,11,10:11
10,11,20,16,3,10,10:11
10,12,13,18,17,2,2:12
10,13,19,12,1,7,7:13
10,14,15,18,20,6,6:14
10,15,17,14,5,9,9:15
10,16,19,11,18,4,4:16
10,17,12,15,10,3,3:17
10,18,12,16,14,8,8:18
10,19,13,9,16,5,5:19
10,20,14,11,7,1,1:20
11,1,10,6,13,20,1:20
11,2,3,8,7,12,2:12
11,3,9,2,11,17,3:17
11,4,10,5,8,16,4:16
11,5,7,4,15,19,5:19
